1,fPcxzH,g,3-3-1976,0215849895016,dYFvqYWXOVaobCSoqRHxVYgvjmqBJs@uphOMneJpRKLyHOFdzprynoUOEdFJXdcGYwi.Qxr,583,oh,WUdYh,TdWnZn,6,f,M
2,Wwo,VouM,17-7-1938,0295196871345,XBnfzThPqprvSbFLAxHDPakTydsuK@RTe.hB,385,vSmIKH,bLjVfBJ,Qbz,44,w,F
3,g,oxVWOcKY,24-8-1978,+614307963664,VARzUMtQFDIsVAreCLZSQUswNlcqQmyziMnMUgP@lbdBzdhkLJBRecZUbHWyKJiAzaGb.hM,42,NDtLd,zEx,vPBbJLP,9858,u,M
4,vp,OfmUyvyxSr,11-9-1992,0216756940686,fDaTqkSEpeHwSWiiY@fLlfEwgkAJ.oJ,621,Wg,DTU,WapqYw,0297,N,F
5,AAyzWo,fOllByrTwo,20-8-1933,0226572409236,kqzhpSMdxJCiOxbsjwLtoeTXQlbbTnoCcGFSMA@HhEtyCpWHkKtsmYrIO.vGD,610,x,LntVXvC,voTk,3,L,M
6,eJEv,nntw,26-5-1925,0210561475974,YSlhgaNGliTAGrQlzhkECzENvD@pkYfnyOdNSNpqgWZCDTLYKqeQrASVF.xSo,032,hGwWna,a,I,5,D,M
7,ymoiqO,H,3-3-1936,0219505882900,IKWCqgQJyBXZTlnwsMaDADul@BU.ai,45,FRuhsX,SxRBbiB,Jx,5,p,F
8,wpO,pplHI,11-5-1931,+647820726725,kCFFPHzfrXxFayAAkDGMBorUmjE@UghyvuQLrJrNyWfdSfkFRtGQaOBV.FBf,6,CSM,s,RcaWQl,3832,D,F
9,Dtu,b,4-1-1962,0276152677277,sdiINbMnRDZVwBc@DsQeYrSABISbsHQBENyCnYi.PAY,250,z,ymmZ,uEJolE,05,w,M
10,AyARN,pukzaitSaT,21-1-2006,0263713389184,BJkvquzhcPHEjuDVsuOrIYN@FBbTjTutNDDfzDKAYklsNGzRVXptwyL.nS,90,uZk,c,UcO,97,w,M
11,pKDATL,zRoPHMbHfP,6-12-1987,0291270225452,APpsxnCKWOdWqTePbBhCKRrEVfOSnGGacAK@fJTujrs.OiY,324,R,VrqVS,rwnuBe,87,j,F
