sid,fName,lName,dob,phNumber,email,streetNumber,streetName,suburb,city,postCode,clinic,sex
1,bOUwB,NmUGUALV,1960-6-3,0217800985810,KEJbPQvhALas@SlUkEjLzbPxNbDjZHLyMbyJxQDojrurJVrLxTAT.nqz,0,eE,cfSn,waB,841,E,F
2,YW,r,1994-2-28,0292032181759,mXTXdHlWievaOpXvDCXonHaBgcAZge@dBuIyuIgIcyLz.IoL,079,EzJiGS,T,JhLL,2,z,F
3,iwsnQ,mkHIUwcjt,1979-6-13,0273435547562,fXf@cpPoNyFRTLvappKNuxmvExRqwBgF.Lwf,5,ELpE,dvkMAjb,wlnrnR,1,d,F
4,Q,TpkOnxJo,1935-5-2,0219434093947,fzOUxDUWzbOuvTLTDtNuhEcq@RGfMsJJWBT.Ff,095,OYGu,z,PA,1,j,M
5,Pcc,UZnC,1925-7-4,+648874662113,oATLGeRhILepxWATmdhROzuLCVBXNzCvsQOQp@RHx.qIg,7,t,St,b,894,Q,M
6,pKPxy,tbQEyntG,1987-9-17,+644262011119,OsrHtOPkTNLTfLVnyt@PivljEdbzr.kTa,6,Spdja,ZhwNYLV,eGMybTLH,5197,g,M
7,uK,VYX,2015-1-2,0211024861558,oVctfiHmkOkRIdDActwBrY@tEHGqjRyoMUEhxQmkOWjKIDsoQz.xfh,7,Nk,ptJ,whUnb,8,V,M
8,PmWrB,sxWEoFTJ,1948-10-1,+619795979131,sDmkeMjPBXynawurmVeLuoTlYGR@eRcSAionXnSHOwyIFy.Em,2,Egjbt,kIAAAB,w,1485,O,F
9,Tfk,O,1935-10-15,0229245129814,KH@IhXONdlunvwwLH.boo,168,BmF,pU,jRFOUJ,548,J,M
10,Tkj,gavHIdLvXT,2017-3-9,0212603170902,OvoWZsysrk@lHyjSUDMwxzXbllzfW.nsb,0,Hfrl,Vkv,vXpMFEUy,436,K,F
