sid,fName,lName,dob,phNumber,email,streetNumber,streetName,suburb,city,postCode,clinic,sex
1,J,fpYRwtioLw,1982-11-17,0276155989479,ZrBVSmyDHmjmQnkXqrOC@BSQHNKAXMBaSw.GGU,3,aKtx,YMbZi,W,79,,M
2,UoV,CGuD,1982-1-17,+618788682539,XtRxSCFtUVBUw@xBFBciAPcFPvxuBxMGPiPizyiGTSBBM.Np,3,tgHBM,C,m,5712,,F
3,QYC,ItwDwp,1969-9-25,0271414164449,PndP@Nw.Wj,850,g,zKldA,ocW,8,,M
4,lNphhE,AkHHTQxXKt,2021-2-2,0219339843293,WrNqLTnltDPLQ@ImNOvVwSvdFjKOqLOBlnLDg.mc,2,fRJm,Ms,KHVM,3308,,F
5,xJQbaB,qBnCipkGzG,2020-5-12,+619859862001,pvyC@QxRsubNQVGmyuHEXOJBlVVeeYX.gxp,18,ZVah,ofGs,p,56,,F
6,IxVLto,tPIC,1991-10-23,0271847573035,ndXYYR@PjwTgxLEGPGWJSdUueK.Nrs,27,NLol,vt,RP,32,,F
7,GWa,Jc,1960-5-13,+648382360125,WVZnqCqICrrvIbtSlXFmKwDOX@MMQVrxbcO.vv,190,RYV,hDbYbW,D,1774,,M
8,Jc,NUQNLrlXM,1931-8-7,0263986142471,VOBOJOgYvQAdSBRScKikbNgCCMx@yDSDkwIfAzlJScHOkxCyPtAm.bjC,421,Yo,ypO,YuUJ,26,,M
9,VyyJRA,ViePDMfedk,1928-9-16,0297735974929,mZohKovyyTgcCZbCBXFrnQAbQbQgHih@xUUOFIc.KMr,448,fiZr,w,cyemqfy,3,,M
10,DzX,GInB,2002-1-22,0226910010005,ZIvBRCWHSBqJczUnBRptKvcBGElGzXpScMwLiuY@czcN.jx,5,sLIx,Bigiv,hjY,83,,F
11,TV,TWXFIEHfWn,1971-12-25,0218676992479,ceODdykGYZGOyhHwLLAntEZIKAGOYNeww@sUJgPqfMMRsESfCoibInYcXGixFKEjZV.MUN,265,arDrfh,UJw,S,9,,M
12,L,Iz,1983-7-6,0266011966198,ZKUEhaylvaBNEVVuklbflA@UdopkZPO.kb,895,GCjRXd,oyB,p,54,,M
13,HujM,zxtZGLQ,1928-10-6,+642920068582,CasQKjanEIxdTkErxHvVkljDefhjzZv@j.KZ,6,e,FaA,lybBHmKb,72,,M
14,TZPTZ,cSfXQuy,1963-9-16,0228763910819,TMDvULWZug@IjxQHZrZbSsUokwewupIRoTuKfymA.dv,810,lE,ANAiUc,dzSfN,2,,F
15,vjdr,LSpuXbX,1935-6-2,0261674364902,QtrROPkRLYTehgsrPNXFALeniLgFQZoCnMDkL@tLGRbXWaHBYhjU.un,73,AHfy,jOrFb,LbAcML,5024,,M
16,MY,OHHvrqzKze,1962-11-18,0217657552567,ZihtKIeDfxjUIIi@ItPjNookRRyNvgdmJzzCZLTmY.ig,2,bidrb,rovg,DMFda,3473,,F
17,DsZMm,vbUTpjLmc,1969-1-11,0264779558928,IHJgRl@sUX.GM,9,lLypV,yVIU,YW,5458,,M
18,sxRa,IKlnTfNrtf,1989-9-11,0264859489830,KjAWyR@iigo.cx,607,HFNhhS,gcYd,SnwQJbF,12,,F
19,q,Mxf,1991-11-21,0276423183082,QuvidVnJIsuJXomfu@BAzCMVLRWTFCCazZsYlwSJWoY.hEj,555,gS,Qa,NrKmApe,330,,F
20,Ymp,midPFBbQQZ,1970-6-21,0211189083436,KB@QxFUlTvXIlVFR.qP,548,mZzWR,qfEEzT,ANepynX,7354,,F
21,IOjRn,DOjYPhYap,1979-5-20,0296675678947,CZYeHalzgVtteqLShDRepIIfAYYBseWNP@jaxweVRszCZVlEjgFWRgEdumiamfRgFjanj.fQx,1,IlWd,O,d,8787,,M
22,UMUlQh,ZtiqxVgsm,1955-10-8,0266075818322,xKwXdkloMmhrTZRQNsmq@sgj.XWV,25,mGzTNw,gMl,fTqr,76,,M
23,cmQ,tMz,1941-1-16,0212336303995,iYKOSZBkOPweLkUbHXRGX@GTLJZFjESZHfYZLOkTFBDNtGWtra.BA,3,D,zpjHf,Xjmml,270,,M
24,iEPT,kNRL,2013-6-4,0213977567452,kuSxycnhOTubGzuUkuRARukULUmMDgllBxBrEm@mmejQ.pc,5,eXH,MjM,cJflnne,28,,F
25,P,kNrDPWknE,2018-12-10,+645088174823,iTVQwFQEqxkiXT@sDTTbwJUhKyELscbxneDFBzqGSGYCfosAJebBu.LZ,335,rgeGeH,d,WG,4,,F
26,TCjT,RT,1986-5-10,+616314290050,SvmgtEveNylF@YzfHnOjUdNI.Jp,810,WLAr,WaALxo,Xixp,23,,M
27,mmDPnd,TspLSWx,1941-1-23,+619118784571,WerGmOrzcZDHkhoyTlmJgdpqaX@KUeLBYgKQurUNpo.jK,454,sEB,rdbKUq,CcJ,516,,F
28,eZ,Qgs,1954-4-24,0298288446900,sIxwuwCMyNDUZdGOqRoivFmSiHIcFdI@fwbAyGzeKPomcrVmwDIeJHGUqlQtiNOGam.Xf,8,TKA,k,vPURqb,595,,M
29,o,OtUDrZJzbC,1959-6-9,0226156836104,OgVsDSxjWcQJFhXpuhRuHaOxYCnjeFmRHmsQdde@YhYEZpHjUVbqrXJznHms.BfL,5,As,f,ugowVL,416,,F
30,kk,jVCWklCiT,2002-1-2,0221260169570,XrLuffwtdSYocSvuTdLIXGfZmSsIARREg@paQWVLyUbIpWNfAYH.Dtc,8,ZNHZI,tugcWbi,ifMrdu,2,,F
31,tKwmvF,ZWkFSvjs,2005-8-10,0219184700985,VyGrnGqZOmcFK@vQXWxGPjZoSE.FW,430,WDRPC,edCpjPX,uVEZ,403,,F
32,H,OBDiY,2007-4-7,0212657055911,pFpSoYZSKVPiFPuoZZIwRf@wNTaorPOhVInpptXwpyPyWEZx.wi,7,PeS,nnZja,CLmco,4,,M
33,wK,VIfF,1996-4-4,0275302810491,WcLWiDdoyJohiiEwhToR@dsBlJIrQglkHERiGEdqdJNgcKMUqUlsTLG.Mc,66,dZtOxO,O,SNFjEJZj,5,,M
34,hrlh,amujxhJnS,1940-7-13,0263163571537,PdKeWnpoFTzGKehMfJpmF@iYtpiXcTNlVksAHukMqrOeYIEqFhaJOtqo.jF,476,Nm,pKsiokU,qZzDwO,1952,,M
35,Lwwc,yRfQ,1950-1-26,0299156506017,zLhswGzxfDdlNUZpGZnn@VuOMRCoxXeUEA.BuK,494,EKKSy,CUPtdn,LjdqP,2706,,F
36,OYgV,gxBmuIQox,1949-8-20,0273894690696,HicjKqdPINKkl@JN.Tu,7,KdP,DpQDsQ,XFbJTeJ,2,,F
37,dZli,JtTYm,1955-6-19,0221445216958,PgqqmsqBcXsTINTEjrFPfVMIMogXPM@tZymcSWOmrhbzHutkJTHhTHpSqWu.iR,544,ESe,XFhFT,PflLR,7768,,F
38,LpXib,ASKvbUh,1962-6-12,0294471876999,TWbwQFFSCQwMZnCRcjpihonDbpwCV@ndMtWbQFdfJbFycaaJtyGwjSSmTrUNCRXZCGid.RsV,44,ITKSc,SPcuhU,nsmj,770,,M
39,WnD,BfEySDqBz,1979-7-27,+641783926869,qPnBalPym@vgbzKJyzqgmgIPgECzlEIvl.gIl,2,Svex,WvKEFp,bivk,470,,M
40,AVc,yCl,2007-3-13,+642129171702,PGoEQxy@gZvHWKuOQXOzCvojPi.fuu,10,Ez,UlCUPRq,suQEaQT,87,,M
41,gb,e,1945-1-17,+648745260968,vQLMCMwLnaoVsmkSJJIqMRLSfFulFXG@jFqiRqjXynnrkLFrGbfLrSoLwBxZGHqpVtG.KB,68,AnH,FdKGJQ,sUKIsR,31,,F
42,xUvx,RMtN,1950-4-10,+614380068013,ow@LEsfmOo.yH,1,e,OigoKS,qvBcyBU,66,,M
43,Z,pzHU,1949-3-19,0271446536556,wDIVKSBFgKqLlPqrNevxKTaVREIKTLBjk@BehErXiLURHJuwEEGPZEfAnPbzFfdAnYxxpsC.tqG,395,tQlsa,vRpho,vs,3,,F
